record_set,benchmark,memory_system,scope,model_label,scale,budget,n,unbudgeted_success_count,pass_count,wrong_within_budget_count,budget_exhausted_count,unbudgeted_success,pass_at_b,p_wrong,p_exh,mean_calls,median_calls,p90_calls
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,400,5,500,98,39,66,395,0.196,0.078,0.132,0.79,5.126,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,400,6,500,98,98,402,0,0.196,0.196,0.804,0.0,5.126,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,0,1,500,223,212,253,35,0.446,0.424,0.506,0.07,1.208,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,0,2,500,223,218,261,21,0.446,0.436,0.522,0.042,1.208,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,0,3,500,223,220,264,16,0.446,0.44,0.528,0.032,1.208,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,0,4,500,223,220,264,16,0.446,0.44,0.528,0.032,1.208,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,0,5,500,223,220,264,16,0.446,0.44,0.528,0.032,1.208,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,0,6,500,223,223,277,0,0.446,0.446,0.554,0.0,1.208,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,100,1,500,55,55,410,35,0.11,0.11,0.82,0.07,1.148,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,100,2,500,55,55,434,11,0.11,0.11,0.868,0.022,1.148,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,100,3,500,55,55,435,10,0.11,0.11,0.87,0.02,1.148,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,100,4,500,55,55,435,10,0.11,0.11,0.87,0.02,1.148,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,100,5,500,55,55,437,8,0.11,0.11,0.874,0.016,1.148,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,100,6,500,55,55,445,0,0.11,0.11,0.89,0.0,1.148,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,200,1,500,64,63,410,27,0.128,0.126,0.82,0.054,1.102,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,200,2,500,64,63,431,6,0.128,0.126,0.862,0.012,1.102,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,200,3,500,64,63,431,6,0.128,0.126,0.862,0.012,1.102,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,200,4,500,64,63,431,6,0.128,0.126,0.862,0.012,1.102,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,200,5,500,64,63,431,6,0.128,0.126,0.862,0.012,1.102,1.0,1.0
