source_package,benchmark,memory_system,scope,model_label,budget_B,base_s_label,scaled_s_label,pass_at_b_base,pass_at_b_base_ci_low,pass_at_b_base_ci_high,pass_at_b_scaled,pass_at_b_scaled_ci_low,pass_at_b_scaled_ci_high,delta_pass_at_b,p_exhaustion_scaled,p_wrong_within_budget_scaled
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,1,s0,s400,0.6418439716312057,0.5851063829787234,0.6985815602836879,0.6347517730496454,0.5814716312056737,0.6879432624113475,-0.007092198581560294,0.0,0.36524822695035464
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,2,s0,s400,0.6418439716312057,0.5886524822695035,0.6985815602836879,0.6347517730496454,0.5780141843971631,0.6880319148936169,-0.007092198581560294,0.0,0.36524822695035464
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,3,s0,s400,0.6418439716312057,0.5851063829787234,0.6914893617021277,0.6347517730496454,0.574468085106383,0.6879432624113475,-0.007092198581560294,0.0,0.36524822695035464
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,4,s0,s400,0.6418439716312057,0.5886524822695035,0.6914893617021277,0.6347517730496454,0.5780141843971631,0.6880319148936169,-0.007092198581560294,0.0,0.36524822695035464
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,5,s0,s400,0.6418439716312057,0.588563829787234,0.6951241134751772,0.6347517730496454,0.5815602836879432,0.6914893617021277,-0.007092198581560294,0.0,0.36524822695035464
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,1,s0,s400,0.6134751773049646,0.5602836879432624,0.6702127659574468,0.5851063829787234,0.524822695035461,0.6418439716312057,-0.028368794326241176,0.0,0.4148936170212766
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,2,s0,s400,0.6134751773049646,0.5601950354609929,0.6737588652482269,0.5851063829787234,0.5247340425531914,0.6418439716312057,-0.028368794326241176,0.0,0.4148936170212766
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,3,s0,s400,0.6134751773049646,0.5567375886524822,0.6666666666666666,0.5851063829787234,0.5283687943262412,0.6453900709219859,-0.028368794326241176,0.0,0.4148936170212766
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,4,s0,s400,0.6134751773049646,0.5567375886524822,0.6773049645390071,0.5851063829787234,0.524822695035461,0.6418439716312057,-0.028368794326241176,0.0,0.4148936170212766
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,5,s0,s400,0.6134751773049646,0.5531914893617021,0.6702127659574468,0.5851063829787234,0.5283687943262412,0.6382978723404256,-0.028368794326241176,0.0,0.4148936170212766
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,1,s0,s400,0.5815602836879432,0.524822695035461,0.6382978723404256,0.5602836879432624,0.5035460992907801,0.6170212765957447,-0.02127659574468077,0.0,0.4397163120567376
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,2,s0,s400,0.5815602836879432,0.524822695035461,0.6382978723404256,0.5602836879432624,0.4999113475177305,0.6170212765957447,-0.02127659574468077,0.0,0.4397163120567376
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,3,s0,s400,0.5815602836879432,0.5283687943262412,0.638386524822695,0.5602836879432624,0.5070921985815603,0.6134751773049646,-0.02127659574468077,0.0,0.4397163120567376
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,4,s0,s400,0.5815602836879432,0.524822695035461,0.6347517730496454,0.5602836879432624,0.5,0.6170212765957447,-0.02127659574468077,0.0,0.4397163120567376
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,5,s0,s400,0.5815602836879432,0.524822695035461,0.6382978723404256,0.5602836879432624,0.5070921985815603,0.624113475177305,-0.02127659574468077,0.0,0.4397163120567376
