source_package,benchmark,memory_system,scope,model_label,s,packaged_success_rate,derived_raw_success_rate,success_rate_abs_diff,packaged_retrieval_calls_mean,derived_retrieval_calls_mean,retrieval_calls_mean_abs_diff,status
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 8B,400,0.560284,0.5602836879432624,3.1205673756140584e-07,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,0,0.613475,0.6134751773049646,1.7730496459922307e-07,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,100,0.588652,0.5886524822695035,4.822695035544555e-07,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,200,0.599291,0.599290780141844,2.1985815601421876e-07,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,300,0.602837,0.6028368794326241,1.205673758608583e-07,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,400,0.585106,0.5851063829787234,3.8297872340109507e-07,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,0,0.641844,0.6418439716312057,2.836879431367123e-08,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,100,0.666667,0.6666666666666666,3.33333333379926e-07,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,200,0.64539,0.6453900709219859,7.092198583968923e-08,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,300,0.652482,0.6524822695035462,2.6950354614641014e-07,1.0,1.0,0.0,ok
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,400,0.634752,0.6347517730496454,2.2695035462039215e-07,1.0,1.0,0.0,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,0,0.1715,0.1715,0.0,4.808,4.808,0.0,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,100,0.1705,0.1705,0.0,4.831,4.831,0.0,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,200,0.168,0.168,0.0,4.812,4.812,0.0,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,300,0.166,0.166,0.0,4.813,4.813,0.0,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,400,0.168,0.168,0.0,4.812,4.812,0.0,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,0,0.654,0.654,0.0,3.127,3.127,0.0,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,100,0.6645,0.6645,0.0,3.141,3.141,0.0,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,200,0.662,0.662,0.0,3.145,3.145,0.0,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,300,0.683,0.683,0.0,3.1405,3.1405,0.0,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,400,0.7435,0.7434885556432518,1.1444356748269158e-05,2.8445,2.844514601420679,1.460142067877257e-05,ok
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 405B,0,0.8541,0.8540983606557377,1.63934426222756e-06,1.4257,1.4256830601092896,1.6939890710387928e-05,ok
