source_package,benchmark,memory_system,scope,model_label,s,s_label,task_count,trajectory_count,expected_rows_per_model,expected_rows_per_stage,coverage_ratio,run_status,raw_success_rate_taskavg,raw_success_rate_rowavg,raw_success_ci_low,raw_success_ci_high,retrieval_calls_mean,retrieval_calls_median,retrieval_calls_p90,retrieval_calls_max,zero_retrieval_rate,context_tokens_mean,total_duration_ms_mean,total_cost_usd_mean,react_steps_mean,budget_B,pass_at_b_taskavg,pass_at_b_ci_low,pass_at_b_ci_high,pass_at_b_rowavg,p_exhaustion,p_wrong_within_budget,partition_mass_check
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,400,s400,282,282,1410,282,1.0,complete,0.6950354609929078,0.6950354609929078,0.6453900709219859,0.74822695035461,1.429078014184397,1.0,3.0,4,0.0,1444.531914893617,64779.0780141844,0.004713829787234041,2.4290780141843973,1,0.5709219858156028,0.5141843971631206,0.6276595744680851,0.5709219858156028,0.2978723404255319,0.13120567375886524,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,400,s400,282,282,1410,282,1.0,complete,0.6950354609929078,0.6950354609929078,0.6453900709219859,0.74822695035461,1.429078014184397,1.0,3.0,4,0.0,1444.531914893617,64779.0780141844,0.004713829787234041,2.4290780141843973,2,0.6631205673758865,0.6099290780141844,0.7198581560283688,0.6631205673758865,0.1276595744680851,0.20921985815602837,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,400,s400,282,282,1410,282,1.0,complete,0.6950354609929078,0.6950354609929078,0.6453900709219859,0.74822695035461,1.429078014184397,1.0,3.0,4,0.0,1444.531914893617,64779.0780141844,0.004713829787234041,2.4290780141843973,3,0.6950354609929078,0.6418439716312057,0.7446808510638298,0.6950354609929078,0.0035460992907801418,0.30141843971631205,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,400,s400,282,282,1410,282,1.0,complete,0.6950354609929078,0.6950354609929078,0.6453900709219859,0.74822695035461,1.429078014184397,1.0,3.0,4,0.0,1444.531914893617,64779.0780141844,0.004713829787234041,2.4290780141843973,4,0.6950354609929078,0.6418439716312057,0.7446808510638298,0.6950354609929078,0.0,0.3049645390070922,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,400,s400,282,282,1410,282,1.0,complete,0.6950354609929078,0.6950354609929078,0.6453900709219859,0.74822695035461,1.429078014184397,1.0,3.0,4,0.0,1444.531914893617,64779.0780141844,0.004713829787234041,2.4290780141843973,5,0.6950354609929078,0.6418439716312057,0.7447695035460992,0.6950354609929078,0.0,0.3049645390070922,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,0,s0,282,282,1410,282,1.0,complete,0.6843971631205674,0.6843971631205674,0.6312056737588653,0.7375886524822695,1.822695035460993,1.0,4.0,5,0.0,1414.8085106382978,49779.716312056735,0.002877659574468086,2.8226950354609928,1,0.5070921985815603,0.44680851063829785,0.5638297872340425,0.5070921985815603,0.38652482269503546,0.10638297872340426,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,0,s0,282,282,1410,282,1.0,complete,0.6843971631205674,0.6843971631205674,0.6312056737588653,0.7375886524822695,1.822695035460993,1.0,4.0,5,0.0,1414.8085106382978,49779.716312056735,0.002877659574468086,2.8226950354609928,2,0.5851063829787234,0.5283687943262412,0.6418439716312057,0.5851063829787234,0.2730496453900709,0.14184397163120568,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,0,s0,282,282,1410,282,1.0,complete,0.6843971631205674,0.6843971631205674,0.6312056737588653,0.7375886524822695,1.822695035460993,1.0,4.0,5,0.0,1414.8085106382978,49779.716312056735,0.002877659574468086,2.8226950354609928,3,0.6702127659574468,0.6134751773049646,0.723404255319149,0.6702127659574468,0.10638297872340426,0.22340425531914893,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,0,s0,282,282,1410,282,1.0,complete,0.6843971631205674,0.6843971631205674,0.6312056737588653,0.7375886524822695,1.822695035460993,1.0,4.0,5,0.0,1414.8085106382978,49779.716312056735,0.002877659574468086,2.8226950354609928,4,0.6843971631205674,0.6276595744680851,0.7375886524822695,0.6843971631205674,0.05673758865248227,0.25886524822695034,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,0,s0,282,282,1410,282,1.0,complete,0.6843971631205674,0.6843971631205674,0.6312056737588653,0.7375886524822695,1.822695035460993,1.0,4.0,5,0.0,1414.8085106382978,49779.716312056735,0.002877659574468086,2.8226950354609928,5,0.6843971631205674,0.6312056737588653,0.7375886524822695,0.6843971631205674,0.0,0.31560283687943264,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,100,s100,282,282,1410,282,1.0,complete,0.6843971631205674,0.6843971631205674,0.6276595744680851,0.7375886524822695,1.900709219858156,1.0,4.0,5,0.0,1462.258865248227,45807.48226950355,0.0030333333333333354,2.900709219858156,1,0.48936170212765956,0.42907801418439717,0.5460992907801419,0.48936170212765956,0.425531914893617,0.0851063829787234,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,100,s100,282,282,1410,282,1.0,complete,0.6843971631205674,0.6843971631205674,0.6276595744680851,0.7375886524822695,1.900709219858156,1.0,4.0,5,0.0,1462.258865248227,45807.48226950355,0.0030333333333333354,2.900709219858156,2,0.5780141843971631,0.5212765957446809,0.6382978723404256,0.5780141843971631,0.2907801418439716,0.13120567375886524,1.0
