source_package,benchmark,memory_system,scope,model_label,s,s_label,budget_B,run_status,coverage_ratio,p_exhaustion,p_wrong_within_budget,pass_at_b_taskavg,partition_mass_check
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,100,s100,3,complete,1.0,0.7127659574468085,0.0425531914893617,0.24468085106382978,0.9999999999999999
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,100,s100,4,complete,1.0,0.5212765957446809,0.07446808510638298,0.40425531914893614,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,100,s100,5,complete,1.0,0.0,0.5567375886524822,0.4432624113475177,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,200,s200,1,complete,1.0,0.9858156028368794,0.0035460992907801418,0.010638297872340425,0.9999999999999999
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,200,s200,2,complete,1.0,0.9716312056737588,0.0035460992907801418,0.024822695035460994,0.9999999999999999
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,200,s200,3,complete,1.0,0.75177304964539,0.028368794326241134,0.2198581560283688,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,200,s200,4,complete,1.0,0.5567375886524822,0.0673758865248227,0.375886524822695,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,200,s200,5,complete,1.0,0.0,0.5567375886524822,0.4432624113475177,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,300,s300,1,complete,1.0,0.9858156028368794,0.0,0.014184397163120567,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,300,s300,2,complete,1.0,0.9645390070921985,0.0,0.03546099290780142,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,300,s300,3,complete,1.0,0.7340425531914894,0.03546099290780142,0.23049645390070922,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,300,s300,4,complete,1.0,0.549645390070922,0.09219858156028368,0.35815602836879434,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,300,s300,5,complete,1.0,0.0,0.5709219858156028,0.42907801418439717,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,400,s400,1,complete,1.0,0.9716312056737588,0.0,0.028368794326241134,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,400,s400,2,complete,1.0,0.9397163120567376,0.0035460992907801418,0.05673758865248227,0.9999999999999999
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,400,s400,3,complete,1.0,0.723404255319149,0.024822695035460994,0.25177304964539005,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,400,s400,4,complete,1.0,0.5780141843971631,0.06382978723404255,0.35815602836879434,1.0
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,400,s400,5,complete,1.0,0.0,0.5851063829787234,0.4148936170212766,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 405B,0,s0,1,partial,0.915,0.25191256830601094,0.033879781420765025,0.7142076502732241,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 405B,0,s0,2,partial,0.915,0.11584699453551912,0.07431693989071038,0.8098360655737705,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 405B,0,s0,3,partial,0.915,0.05573770491803279,0.10546448087431694,0.8387978142076503,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 405B,0,s0,4,partial,0.915,0.002185792349726776,0.14590163934426228,0.8519125683060109,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 405B,0,s0,5,partial,0.915,0.0,0.14590163934426228,0.8540983606557377,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,0,s0,1,complete,1.0,0.6285,0.0045,0.367,0.9999999999999999
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,0,s0,2,complete,1.0,0.5245,0.0065,0.469,0.9999999999999999
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,0,s0,3,complete,1.0,0.5105,0.0095,0.48,0.9999999999999999
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,0,s0,4,complete,1.0,0.4635,0.032,0.5045,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,0,s0,5,complete,1.0,0.0,0.346,0.654,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,100,s100,1,complete,1.0,0.634,0.006,0.36,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,100,s100,2,complete,1.0,0.5325,0.0085,0.459,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,100,s100,3,complete,1.0,0.512,0.0105,0.4775,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,100,s100,4,complete,1.0,0.4625,0.0315,0.506,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,100,s100,5,complete,1.0,0.0,0.3355,0.6645,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,200,s200,1,complete,1.0,0.641,0.0055,0.3535,0.9999999999999999
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,200,s200,2,complete,1.0,0.5295,0.0095,0.461,0.9999999999999999
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,200,s200,3,complete,1.0,0.5145,0.011,0.4745,0.9999999999999999
